iter	Passed	Remaining
0	135	135049
1	136	68067
2	137	45718
3	138	34572
4	139	27846
5	141	23396
6	142	20244
7	143	17849
8	144	15914
9	145	14414
10	146	13189
11	147	12164
12	149	11318
13	150	10603
14	151	9971
15	153	9417
16	154	8933
17	155	8499
18	157	8114
19	158	7761
20	159	7441
21	160	7153
22	162	6892
23	163	6649
24	164	6416
25	165	6211
26	167	6022
27	168	5844
28	169	5682
29	171	5532
30	172	5384
31	173	5245
32	174	5116
33	175	4995
34	177	4881
35	178	4784
36	179	4681
37	180	4580
38	182	4488
39	183	4402
40	184	4316
41	185	4233
42	186	4154
43	187	4079
44	188	4007
45	189	3939
46	191	3874
47	192	3811
48	193	3752
49	194	3698
50	195	3644
51	196	3589
52	198	3540
53	199	3490
54	200	3443
55	201	3397
56	202	3352
57	203	3309
58	204	3268
59	206	3228
60	207	3190
61	208	3154
62	209	3121
63	210	3085
64	212	3051
65	213	3019
66	214	2986
67	215	2953
68	216	2923
69	217	2894
70	218	2859
71	219	2832
72	220	2805
73	222	2779
74	222	2750
75	224	2727
76	225	2705
77	226	2681
78	228	2658
79	229	2634
80	230	2611
81	231	2590
82	232	2568
83	233	2550
84	235	2531
85	236	2510
86	237	2491
87	238	2473
88	239	2454
89	241	2438
90	242	2418
91	243	2400
92	244	2382
93	245	2365
94	246	2348
95	247	2331
96	248	2312
97	249	2297
98	250	2283
99	251	2267
100	252	2251
101	254	2236
102	255	2222
103	256	2208
104	257	2194
105	258	2180
106	259	2166
107	260	2153
108	261	2139
109	262	2127
110	264	2115
111	265	2103
112	266	2090
113	267	2079
114	268	2068
115	270	2057
116	271	2046
117	272	2036
118	273	2025
119	274	2014
120	275	2003
121	276	1993
122	278	1983
123	279	1973
124	280	1963
125	281	1953
126	282	1944
127	284	1934
128	284	1921
129	285	1911
130	286	1902
131	287	1893
132	289	1884
133	290	1874
134	291	1865
135	292	1856
136	293	1848
137	294	1839
138	295	1831
139	296	1823
140	298	1817
141	299	1808
142	300	1800
143	301	1792
144	302	1784
145	303	1777
146	304	1769
147	305	1761
148	307	1754
149	308	1748
150	310	1743
151	311	1735
152	312	1728
153	313	1721
154	314	1714
155	315	1706
156	316	1700
157	317	1694
158	319	1687
159	320	1681
160	321	1674
161	322	1668
162	323	1661
163	324	1655
164	325	1649
165	327	1643
166	328	1637
167	329	1630
168	330	1625
169	331	1619
170	332	1613
171	333	1607
172	335	1601
173	336	1595
174	337	1590
175	338	1584
176	339	1578
177	340	1573
178	341	1567
179	342	1562
180	344	1557
181	345	1552
182	346	1547
183	347	1542
184	348	1536
185	349	1531
186	351	1526
187	352	1521
188	353	1516
189	354	1512
190	356	1508
191	357	1503
192	358	1498
193	359	1493
194	360	1487
195	361	1482
196	362	1478
197	363	1473
198	365	1469
199	366	1465
200	367	1461
201	368	1457
202	369	1452
203	370	1447
204	372	1443
205	373	1438
206	374	1433
207	375	1429
208	376	1425
209	377	1420
210	378	1415
211	379	1411
212	381	1407
213	382	1404
214	383	1400
215	384	1396
216	385	1392
217	386	1388
218	388	1383
219	389	1379
220	390	1375
221	391	1371
222	392	1367
223	393	1363
224	394	1359
225	396	1356
226	397	1352
227	398	1349
228	399	1345
229	400	1341
230	401	1338
231	403	1335
232	404	1331
233	405	1327
234	406	1324
235	408	1320
236	409	1317
237	410	1314
238	411	1310
239	412	1306
240	413	1303
241	415	1300
242	416	1297
243	417	1294
244	418	1290
245	420	1287
246	421	1284
247	422	1280
248	423	1277
249	425	1275
250	426	1272
251	427	1269
252	428	1266
253	430	1263
254	431	1260
255	432	1257
256	433	1254
257	434	1250
258	436	1247
259	437	1244
260	438	1241
261	439	1238
262	440	1235
263	441	1232
264	443	1229
265	444	1226
266	445	1223
267	446	1220
268	447	1216
269	448	1213
270	450	1211
271	451	1208
272	452	1204
273	453	1201
274	454	1198
275	455	1195
276	457	1193
277	458	1190
278	459	1186
279	461	1185
280	462	1182
281	463	1180
282	464	1177
283	465	1174
284	466	1170
285	467	1168
286	469	1165
287	470	1163
288	471	1160
289	472	1157
290	473	1154
291	474	1151
292	476	1148
293	477	1146
294	478	1143
295	479	1140
296	481	1138
297	482	1135
298	483	1132
299	484	1130
300	485	1127
301	486	1124
302	487	1122
303	489	1119
304	490	1117
305	491	1114
306	492	1112
307	493	1109
308	495	1107
309	496	1104
310	497	1101
311	498	1099
312	499	1096
313	500	1094
314	502	1091
315	503	1089
316	504	1087
317	506	1085
318	507	1083
319	508	1081
320	510	1078
321	511	1076
322	512	1074
323	513	1071
324	515	1069
325	516	1067
326	517	1064
327	518	1062
328	519	1059
329	520	1057
330	521	1054
331	522	1052
332	523	1049
333	525	1046
334	526	1044
335	527	1041
336	528	1039
337	529	1037
338	530	1035
339	531	1032
340	533	1030
341	534	1028
342	535	1025
343	536	1023
344	537	1020
345	538	1018
346	539	1015
347	540	1012
348	541	1010
349	543	1008
350	544	1006
351	545	1004
352	546	1002
353	548	1000
354	549	998
355	550	995
356	551	993
357	552	990
358	553	988
359	554	985
360	555	983
361	556	980
362	557	978
363	558	976
364	560	974
365	561	971
366	562	969
367	562	966
368	564	964
369	565	962
370	566	959
371	567	957
372	568	954
373	569	952
374	570	950
375	571	947
376	572	945
377	573	943
378	574	941
379	575	939
380	576	937
381	577	935
382	579	932
383	580	930
384	581	928
385	582	925
386	583	923
387	584	921
388	585	919
389	586	916
390	587	914
391	588	912
392	589	910
393	590	908
394	591	906
395	592	904
396	593	901
397	594	899
398	595	897
399	596	895
400	597	893
401	599	891
402	600	888
403	601	886
404	602	885
405	603	883
406	604	881
407	605	879
408	607	877
409	608	875
410	609	873
411	610	870
412	611	868
413	612	866
414	613	864
415	614	862
416	615	860
417	616	858
418	618	857
419	619	855
420	620	853
421	621	851
422	622	849
423	623	847
424	624	845
425	625	843
426	626	840
427	627	838
428	628	836
429	629	835
430	631	833
431	632	831
432	633	829
433	634	827
434	635	825
435	636	823
436	638	821
437	639	819
438	639	817
439	640	815
440	641	813
441	642	811
442	643	809
443	644	807
444	646	805
445	647	803
446	648	802
447	649	800
448	650	798
449	651	796
450	652	794
451	653	792
452	654	790
453	655	788
454	656	786
455	657	784
456	658	782
457	659	780
458	660	778
459	661	776
460	662	775
461	664	773
462	665	771
463	666	769
464	667	767
465	668	765
466	668	763
467	669	761
468	671	759
469	672	757
470	673	755
471	673	753
472	675	752
473	676	750
474	677	748
475	678	746
476	679	745
477	680	743
478	681	741
479	682	739
480	683	737
481	684	736
482	685	734
483	686	732
484	687	730
485	688	728
486	690	727
487	691	725
488	692	723
489	694	722
490	695	720
491	696	718
492	697	717
493	698	715
494	699	713
495	700	711
496	701	710
497	702	708
498	703	706
499	705	705
500	706	703
501	707	701
502	708	700
